name,nii_file,nii_file_id,4dvolind
19_to_5,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,5
19_to_6,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,6
19_to_7,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,7
19_to_8,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,8
19_to_9,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,9
19_to_10,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,10
19_to_11,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,11
19_to_12,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,12
19_to_13,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,13
19_to_14,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,14
19_to_15,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,15
19_to_16,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,16
19_to_17,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,17
19_to_18,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,18
19_to_19,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,19
19_to_20,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,20
19_to_21,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,21
19_to_22,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,22
19_to_23,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,23
19_to_24,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,24
19_to_25,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,25
19_to_26,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,26
19_to_27,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,27
19_to_28,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,28
19_to_29,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,29
19_to_30,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,30
19_to_31,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,31
19_to_32,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,32
19_to_33,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,33
19_to_34,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,34
19_to_35,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,35
19_to_36,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,36
19_to_37,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,37
19_to_38,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,38
19_to_39,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,39
19_to_40,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,40
19_to_41,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,41
19_to_42,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,42
19_to_43,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,43
19_to_44,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,44
19_to_45,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,45
19_to_46,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,46
19_to_47,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,47
19_to_48,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,48
19_to_49,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,49
19_to_50,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,50
19_to_51,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,51
19_to_52,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,52
19_to_53,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,53
19_to_54,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,54
19_to_55,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,55
19_to_56,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,56
19_to_57,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,57
19_to_58,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,58
19_to_59,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,59
19_to_60,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,60
19_to_61,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,61
19_to_62,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,62
19_to_63,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,63
19_to_64,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,64
19_to_65,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,65
19_to_66,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,66
19_to_67,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,67
19_to_68,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,68
19_to_69,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,69
19_to_70,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,70
19_to_71,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,71
